METRICS VALUES (Averaged Across 8 Datasets)
Rows: Models | Columns: Metrics

,R²,RMSE,Corr. Dist.,KL Div.,Wasserstein
DSBM,0.18902867010661534,0.8514634413079184,0.7230621279321501,0.22903351664462115,0.2033205250896885
ASBM,0.06754264150347025,0.9176622076202295,1.0229573804044911,0.2644919638547224,0.22940844703731791
XGBoost-DSBM,0.23655950001307893,0.8274403358971275,0.6358719247800686,0.10197700660839207,0.14820072639028198


METRICS STANDARD DEVIATIONS (Averaged Across 8 Datasets)
Rows: Models | Columns: Metrics
(Lower STD = More Stable Model)

,R²,RMSE,Corr. Dist.,KL Div.,Wasserstein
DSBM,0.10452575476234251,0.06226539185338585,0.11370205838403924,0.01628627950384202,0.011149525079681612
ASBM,0.16370413182755333,0.09178910210387156,0.1502369056853781,0.030193443816669146,0.02440299573566579
XGBoost-DSBM,0.0894074654214355,0.07978720394879668,0.11075418411092956,0.01773669240062372,0.01067118544513211
